Historisches Institut;Department Sport- und Gesundheitswissenschaften;1132
Historisches Institut;Abraham Geiger Kolleg gGmbH;6
Historisches Institut;DV und Statistik Wirtschaftswissenschaften;1
Historisches Institut;Institut für Anglistik und Amerikanistik;487
Historisches Institut;Strafrecht;178
Historisches Institut;An-Institute;61
Historisches Institut;Zentrum für Umweltwissenschaften;64
Historisches Institut;Fachgruppe Betriebswirtschaftslehre;79
Historisches Institut;Interdisziplinäres Zentrum für Massenspektronomie von Biopolymeren;2
Historisches Institut;Zentrum für Lehrerbildung und Bildungsforschung (ZeLB);121
Historisches Institut;Arbeitskreis Militär und Gesellschaft in der Frühen Neuzeit e. V.;53
Historisches Institut;Fakultät für Gesundheitswissenschaften;25
Historisches Institut;Department Grundschulpädagogik;545
Historisches Institut;Institut für Religionswissenschaft;9
Historisches Institut;Universitätsleitung und Verwaltung;12
Historisches Institut;Potsdam Transfer - Zentrum für Gründung, Innovation, Wissens- und Technologietransfer;15
Historisches Institut;Potsdam Institute for Climate Impact Research (PIK) e. V.;1
Historisches Institut;Department Psychologie;1381
Historisches Institut;Institut für Germanistik;890
Historisches Institut;UP Transfer;2
Historisches Institut;Hasso-Plattner-Institut für Digital Engineering GmbH;173
Historisches Institut;Interdisziplinäres Zentrum für Dynamik komplexer Systeme;86
Historisches Institut;Extern;573
Historisches Institut;Hochschulambulanz;11
Historisches Institut;Moses Mendelssohn Zentrum für europäisch-jüdische Studien e. V.;14
Historisches Institut;Wirtschaftswissenschaften;1298
Historisches Institut;Institut für Romanistik;1328
Historisches Institut;Institut für Jüdische Theologie;65
Historisches Institut;Interdisziplinäres Zentrum für Biopolymere;21
Historisches Institut;Philosophische Fakultät;285
Historisches Institut;Institut für Informatik und Computational Science;927
Historisches Institut;Referat für Presse- und Öffentlichkeitsarbeit;6
Historisches Institut;Forschungsbereich "Politik, Verwaltung und Management";3
Historisches Institut;Geschlechtersoziologie;2
Historisches Institut;Kommunalwissenschaftliches Institut;127
Historisches Institut;Lehreinheit für Wirtschafts-Arbeit-Technik;114
Historisches Institut;Strukturbereich Bildungswissenschaften;86
Historisches Institut;Zentrum für Sprachen und Schlüsselkompetenzen (Zessko);66
Historisches Institut;Institut für angewandte Familien-, Kindheits- und Jugendforschung e.V.;2
Historisches Institut;Digital Engineering Fakultät;4
Historisches Institut;Fachgruppe Volkswirtschaftslehre;37
Historisches Institut;Botanischer Garten;2
Historisches Institut;Institut für Umweltwissenschaften und Geographie;1055
Historisches Institut;Institut für Chemie;1378
Historisches Institut;Wirtschafts- und Sozialwissenschaftliche Fakultät;85
Historisches Institut;Multilingualism;5
Historisches Institut;Strukturbereich Kognitionswissenschaften;386
Historisches Institut;Institut für Jüdische Studien und Religionswissenschaft;495
Historisches Institut;Institut für Geowissenschaften;1381
Historisches Institut;Department Erziehungswissenschaft;938
Historisches Institut;Institut für Künste und Medien;257
Historisches Institut;Zentrale und wissenschaftliche Einrichtungen;2
Historisches Institut;Organe und Gremien;1
Historisches Institut;Vereinigung für Jüdische Studien e. V.;256
Historisches Institut;Humanwissenschaftliche Fakultät;111
Historisches Institut;Department Musik und Kunst;157
Historisches Institut;Zentrum für Gerechtigkeitsforschung;74
Historisches Institut;Hasso-Plattner-Institut für Digital Engineering gGmbH;255
Historisches Institut;Fachgruppe Soziologie;63
Historisches Institut;ZIM - Zentrum für Informationstechnologie und Medienmanagement;19
Historisches Institut;Gesundheitsmanagement;7
Historisches Institut;Zentrum für Qualitätsentwicklung in Lehre und Studium (ZfQ);62
Historisches Institut;Zentrum für Australienforschung;4
Historisches Institut;Institut für Lebensgestaltung-Ethik-Religionskunde;7
Historisches Institut;Interdisziplinäres Zentrum für Kognitive Studien;3
Historisches Institut;Mathematisch-Naturwissenschaftliche Fakultät;118
Historisches Institut;Interdisziplinäres Zentrum für Dünne Organische und Biochemische Schichten;61
Historisches Institut;Sozialwissenschaften;1084
Historisches Institut;Juristische Fakultät;11
Historisches Institut;Klassische Philologie;73
Historisches Institut;Öffentliches Recht;484
Historisches Institut;Fachgruppe Politik- & Verwaltungswissenschaft;143
Historisches Institut;MenschenRechtsZentrum;729
Historisches Institut;Universitätsbibliothek;30
Historisches Institut;Institut für Slavistik;453
Historisches Institut;Institut für Philosophie;81
Historisches Institut;Theodor-Fontane-Archiv;1
Historisches Institut;Institut für Physik und Astronomie;1379
Historisches Institut;Verband für Patholinguistik e. V. (vpl);31
Historisches Institut;Career Service;2
Historisches Institut;Zentrum für Lern- und Lehrforschung;45
Historisches Institut;WeltTrends e.V. Potsdam;198
Historisches Institut;Institut für Biochemie und Biologie;1381
Historisches Institut;Institut für Ernährungswissenschaft;993
Historisches Institut;Bürgerliches Recht;438
Historisches Institut;Akademie für Psychotherapie und Interventionsforschung GmbH;3
Historisches Institut;Potsdam Graduate School;2
Historisches Institut;Kanonistisches Institut e.V.;3
Historisches Institut;Sonderforschungsbereich 632 - Informationsstruktur;14
Historisches Institut;Department Linguistik;1214
Historisches Institut;Department für Inklusionspädagogik;144
Historisches Institut;Potsdam Research Institute for Multilingualism (PRIM);22
Historisches Institut;Institut für Mathematik;1257
Department Sport- und Gesundheitswissenschaften;Abraham Geiger Kolleg gGmbH;5
Department Sport- und Gesundheitswissenschaften;DV und Statistik Wirtschaftswissenschaften;1
Department Sport- und Gesundheitswissenschaften;Institut für Anglistik und Amerikanistik;506
Department Sport- und Gesundheitswissenschaften;Strafrecht;178
Department Sport- und Gesundheitswissenschaften;An-Institute;61
Department Sport- und Gesundheitswissenschaften;Zentrum für Umweltwissenschaften;64
Department Sport- und Gesundheitswissenschaften;Fachgruppe Betriebswirtschaftslehre;79
Department Sport- und Gesundheitswissenschaften;Interdisziplinäres Zentrum für Massenspektronomie von Biopolymeren;2
Department Sport- und Gesundheitswissenschaften;Zentrum für Lehrerbildung und Bildungsforschung (ZeLB);124
Department Sport- und Gesundheitswissenschaften;Arbeitskreis Militär und Gesellschaft in der Frühen Neuzeit e. V.;43
Department Sport- und Gesundheitswissenschaften;Fakultät für Gesundheitswissenschaften;61
Department Sport- und Gesundheitswissenschaften;Department Grundschulpädagogik;558
Department Sport- und Gesundheitswissenschaften;Institut für Religionswissenschaft;9
Department Sport- und Gesundheitswissenschaften;Universitätsleitung und Verwaltung;12
Department Sport- und Gesundheitswissenschaften;Potsdam Transfer - Zentrum für Gründung, Innovation, Wissens- und Technologietransfer;15
Department Sport- und Gesundheitswissenschaften;Potsdam Institute for Climate Impact Research (PIK) e. V.;1
Department Sport- und Gesundheitswissenschaften;Department Psychologie;1750
Department Sport- und Gesundheitswissenschaften;Institut für Germanistik;1015
Department Sport- und Gesundheitswissenschaften;UP Transfer;2
Department Sport- und Gesundheitswissenschaften;Hasso-Plattner-Institut für Digital Engineering GmbH;184
Department Sport- und Gesundheitswissenschaften;Interdisziplinäres Zentrum für Dynamik komplexer Systeme;88
Department Sport- und Gesundheitswissenschaften;Extern;736
Department Sport- und Gesundheitswissenschaften;Hochschulambulanz;30
